96,07/11/2004,Cambridge Autumn Head,No event description,1,CB4 1EU,The Cam,4,20,6,No,2
97,30/11/2004,Fairbairns,No event description,1,CB4 1EU,The Cam,4,20,6,No,2
98,01/11/2004,Queens' Ergo Competition,No event description,1,CB3 9ET,Queens' College,4,20,6,No,3
99,18/11/2004,Four's Head of the River,No event description,1,SW15 1LB,The Thames,4,20,6,No,2
100,11/11/2004,Cambridge Winter Head,No event description,1,CB4 1EU,The Cam,4,20,6,No,2
101,19/11/2004,Emma Sprints,A novice race side by side down the reach (500m) in fancy dress,1,CB4 1EU,The Cam,4,20,6,No,3
102,23/11/2004,Clare Novice Regatta,500m side by side race down the reach,1,CB4 1EU,The Cam,4,20,6,No,3
104,20/01/2005,Cambridge Winter Head to Head,No event description,1,CB4 1EU,The Cam,4,20,6,No,2
105,03/02/2005,Newnham Short Course,No event description,1,CB4 1EU,The Cam,4,20,6,No,2
106,07/11/2005,Head of the Nene,5000m head race,1,PE3 6LN,Peterborough River,4,20,6,No,2
108,18/02/2005,Pembroke Regatta,No event description,1,CB4 1EU,The Cam,4,20,6,No,3
109,24/02/2005,The Lent Bumps - Getting On Race,No event description,1,CB4 1EU,The Cam,4,20,6,No,4
110,28/02/2005,The Lent Bumps - Tuesday,No event description,1,CB4 1EU,The Cam,4,20,6,No,4
111,01/03/2005,The Lent Bumps - Wednesday,No event description,1,CB4 1EU,The Cam,4,20,6,No,4
112,02/03/2005,The Lent Bumps - Thursday,No event description,1,CB4 1EU,The Cam,4,20,6,No,4
113,03/03/2005,The Lent Bumps - Friday,No event description,1,CB4 1EU,The Cam,4,20,6,No,4
114,04/03/2005,The Lent Bumps - Saturday,No event description,1,CB4 1EU,The Cam,4,20,6,No,4
115,24/04/2005,busa head,The course is trent bridge to the sailing club on the river trent in nottingham,1,NG2 6AA,The Trent,4,20,6,No,2
117,25/03/2005,Head of the River Race,No event description,1,SW15 1LB,The Thames,4,20,6,No,2
119,26/04/2005,Nottingham City Regatta,No event description,1,NG2 6AA,The Trent,4,20,6,No,3
120,23/04/2005,Maiden Sculls,No event description,1,CB4 1EU,The Cam,4,20,6,No,2
121,26/04/2005,Bushe-Fox Freshman Sculls,No event description,1,CB4 1EU,The Cam,4,20,6,No,3
122,24/04/2005,Lowe Double Sculls,No event description,1,CB4 1EU,The Cam,4,20,6,No,2
123,11/05/2005,Cambridge Spring Head to Head,No event description,1,CB4 1EU,The Cam,4,20,6,No,2
124,11/05/2005,Poplar Regatta,REPLACE,1,E14 3QS,London Docklands,4,20,6,No,3
125,14/06/2005,The May Bumps - Wednesday,No event description,1,CB4 1EU,The Cam,4,20,6,No,4
126,15/06/2005,The May Bumps - Thursday,No event description,1,CB4 1EU,The Cam,4,20,6,No,4
127,16/06/2005,The May Bumps - Friday,No event description,1,CB4 1EU,The Cam,4,20,6,No,4
128,17/06/2005,The May Bumps - Saturday,No event description,1,CB4 1EU,The Cam,4,20,6,No,4
129,06/06/2005,The May Bumps - Getting On Race,No event description,1,CB4 1EU,The Cam,4,20,6,No,2
130,18/06/2005,The May Bumps - Photos,No event description,1,CB4 1EU,The Cam,4,20,6,No,4
132,30/11/2005,Fairbairns,REPLACE,1,CB4 1EU,The Cam,4,20,6,No,2
133,23/11/2005,Fireworks Night BBQ,blank,1,CB4 1EU,Queens' College Boat House,4,20,6,No,1
134,19/11/2005,Emma Sprints,No event description,1,CB4 1EU,The Cam,4,20,6,No,3
135,23/11/2005,Clare Novice Regatta,No event description,1,CB4 1EU,The Cam,4,20,6,No,3
136,11/11/2005,Cambridge Winter Head,REPLACE,1,CB4 1EU,The Cam,4,20,6,No,2
137,18/11/2005,Four's Head of the River,No event description,1,SW15 1LB,The Thames,4,20,6,No,2
138,01/11/2005,Queens' Ergo Competition,REPLACE,1,CB3 9ET,Queens' College,4,20,6,No,3
139,07/11/2005,Cambridge Autumn Head,No event description,1,CB4 1EU,The Cam,4,20,6,No,2
140,10/05/2007,DELETE ME,,,,,,,,,
141,30/11/2005,Fairbairns Cocktails,REPLACE,1,CB3 9ET,Old Hall,4,20,6,No,1
143,01/11/2005,Queens' Ergo Competition,Men's Final,1,CB3 9ET,Queens' College,4,20,6,No,3
144,01/11/2005,Queens' Ergo Competition,Womens Final,1,CB3 9ET,Queens' College,4,20,6,No,3
145,01/11/2005,Queens' Ergo Competition,Mens Division 1 - Race 1,1,CB3 9ET,Queens' College,4,20,6,No,3
146,01/11/2005,Queens' Ergo Competition,Mens Division 1 - Race 2,1,CB3 9ET,Queens' College,4,20,6,No,3
147,01/11/2005,Queens' Ergo Competition,Mens Division 1 - Race 3,1,CB3 9ET,Queens' College,4,20,6,No,3
148,01/11/2005,Queens' Ergo Competition,Womens Division 1 - Race 1,1,CB3 9ET,Queens' College,4,20,6,No,3
149,01/11/2005,Queens' Ergo Competition,Womens Division 1 - Race 2,1,CB3 9ET,Queens' College,4,20,6,No,3
150,01/11/2005,Queens' Ergo Competition,Womens Division 1 - Race 3,1,CB3 9ET,Queens' College,4,20,6,No,3
151,01/11/2005,Queens' Ergo Competition,Mens Division 2 - Race 1,1,CB3 9ET,Queens' College,4,20,6,No,3
152,01/11/2005,Queens' Ergo Competition,Mens Division 2 - Race 2,1,CB3 9ET,Queens' College,4,20,6,No,3
153,01/11/2005,Queens' Ergo Competition,Womens Division 2 - Race 1,1,CB3 9ET,Queens' College,4,20,6,No,3
154,01/11/2005,Queens' Ergo Competition,Womens Division 2 - Race 2,1,CB3 9ET,Queens' College,4,20,6,No,3
155,07/11/2006,Head of the Nene,REPLACE,1,PE3 6LN,Peterborough River,4,20,6,No,2
156,03/02/2006,Newnham Short Course,<i>4th Feb 2006</i>: Newnham Short Course Regatta runs from the Little Bridge above Baitsbite Lock to the Railings.,1,CB4 1EU,The Cam,4,20,6,No,2
157,12/02/2006,Bedford Eights Head,<i>12/02/2006</i> REPLACE,1,MK42 0AX,The Great Ouse,4,20,6,No,2
160,18/02/2006,Pembroke Regatta,<i>18/02/2006</i>: REPLACE,1,CB4 1EU,The Cam,4,20,6,No,3
161,24/02/2006,The Lent Bumps - Getting On Race,<i>24/02/06</i>,1,CB4 1EU,The Cam,4,20,6,No,4
162,28/02/2006,The Lent Bumps - Tuesday,<i>28/02/06</i>,1,CB4 1EU,The Cam,4,20,6,No,4
163,01/03/2006,The Lent Bumps - Wednesday,<i>01/03/06</i>,1,CB4 1EU,The Cam,4,20,6,No,4
164,02/03/2006,The Lent Bumps - Thursday,<i>02/03/06</i>,1,CB4 1EU,The Cam,4,20,6,No,4
165,03/03/2006,The Lent Bumps - Friday,<i>03/03/06</i>,1,CB4 1EU,The Cam,4,20,6,No,4
166,04/03/2006,The Lent Bumps - Saturday,<i>04/03/06</i>,1,CB4 1EU,The Cam,4,20,6,No,4
167,23/02/2006,1st Lent VIII Crew Dinner,<i>23/02/06</i>Hosted in QCBC central by Ian and Rich. Good evening of food REPLACE,1,CB3 9ET,Ian and Rich's room.,4,20,6,No,1
168,04/03/2006,Lent Bumps Dinner,<i>04/03/06</i>,1,CB3 9ET,Old Hall,4,20,6,No,1
169,11/03/2006,QCBC at Cycling Cuppers,<i>11/03/06</i>: 10 mile time trial. There were two main two divisions; mountain bike and road bike (with two unicycles).,1,CB3 9ET,Cambridge,4,20,6,No,2
170,14/03/2006,Challenge Sculls,<i>14/03/06</i> The Challenge Sculls. REPLACE,1,CB4 1EU,The Cam,4,20,6,No,2
171,25/03/2006,Head of the River Race,<i>25/03/06</i> The Head of the River Race (HORR) REPLACE,1,SW15 1LB,The Thames,4,20,6,No,2
172,01/04/2006,Boar's Head Dinner,No event description,1,CB3 9ET,Old Hall,4,20,6,No,1
173,14/04/2006,Easter Training Camp,<b>17/04/06-22/04/06: Shrewsbury</b> REPLACE,1,SY3 7NN,Shrewsbury River,4,20,6,No,6
174,13/05/2006,Bedford Regatta,<b>13/05/06</b>,1,MK42 0AX,The Great Ouse,4,20,6,No,3
175,22/05/2006,Champions VIIIs Head,<b>22/05/06</b> 1 REPLACE,1,CB4 1EU,The Cam,4,20,6,No,2
176,14/06/2006,The May Bumps - Wednesday,<b>14/06/2006</b>,1,CB4 1EU,The Cam,4,20,6,No,4
177,09/06/2006,The May Bumps - Getting On Race,<B>09/06/2006</b>,1,CB4 1EU,The Cam,4,20,6,No,2
178,15/06/2006,The May Bumps - Thursday,<b>15/06/2006</b>,1,CB4 1EU,The Cam,4,20,6,No,4
179,16/06/2006,The May Bumps - Friday,<B>16/06/2006</B>,1,CB4 1EU,The Cam,4,20,6,No,4
180,17/06/2006,The May Bumps - Saturday,<B>17/06/2006</B>,1,CB4 1EU,The Cam,4,20,6,No,4
181,23/06/2006,The Henley Qualifiers,<b>23/06/2006</b> Entering for the second year running REPLACE,1,RG9 2LY,The Thames,4,20,6,No,2
182,28/06/2006,Henley Royal Regatta,REPLACE,1,RG9 2LY,The Thames,4,20,6,No,3
183,31/10/2006,Queens' Ergs,<b>31/10/06</b> Sponsored by Schroeders REPLACE,1,CB3 9ET,Queens' College,4,20,6,No,3
184,07/11/2006,Cambridge Autumn Head,Head race on Bumps course from the Motorway Bridge REPLACE,1,CB4 1EU,The Cam,4,20,6,No,2
185,30/10/2006,University IVs,<b>30/10/06 - 03/11/06</b> The Uni IVs is a knock out competition REPLACE,1,CB4 1EU,The Cam,4,20,6,No,2
186,11/11/2006,Cambridge Winter Head,<b>11/11/06</b> Head race on Bumps course from the Motorway Bridge REPLACE,1,CB4 1EU,The Cam,4,20,6,No,2
187,18/11/2006,Four's Head of the River,<b>18/11/06</b> Fours race on the Tideway REPLACE,1,SW15 1LB,The Thames,4,20,6,No,2
188,19/11/2006,Emma Sprints,<b>19/11/06</b> Informal regatta style race over 500m up and down the Reach. Crews dress in fancy dress and are given forfeits and headstarts before the race. Usually a fun race to enter REPLACE,1,CB4 1EU,The Cam,4,20,6,No,3
189,23/11/2006,Clare Novice Regatta,<b>23/11/06-25/11/06</b> Regatta race over 700m from the bottom of the Reach to Morley's Holt (just short of the P&E). ,1,CB4 1EU,The Cam,4,20,6,No,3
190,30/11/2006,Fairbairns,<b>30/11/06-01/12/06</b> Novice Fairbairns - Head race over 2700m from Jesus Boathouse flagpole to the Railings (on the reach). Senior Fairbairns IVs - Head race over 3400m from Jesus Boathouse flagpole to the Red Grind (opposite the Plough) Senior Fairbairns VIIIs - Head race over 4300m from Jesus Boathouse flagpole to the Little Bridge (just past the Motorway Bridge).  REPLACE,1,CB4 1EU,The Cam,4,20,6,No,2
