262,1,alumni,2008-08-22 00:00:00
263,1,alumni,2008-08-22 00:00:00
264,1,alumni,2008-08-22 00:00:00
264,5,current,2008-08-22 00:00:00
265,1,alumni,2008-08-22 00:00:00
266,1,alumni,2008-08-22 00:00:00
267,1,alumni,2008-08-22 00:00:00
268,1,alumni,2008-08-22 00:00:00
269,1,alumni,2008-08-22 00:00:00
270,1,alumni,2008-08-22 00:00:00
271,1,alumni,2008-08-22 00:00:00
272,1,alumni,2008-08-22 00:00:00
273,1,alumni,2008-08-22 00:00:00
274,1,alumni,2008-08-22 00:00:00
275,1,alumni,2008-08-22 00:00:00
276,1,alumni,2008-08-22 00:00:00
277,1,alumni,2008-08-22 00:00:00
278,1,alumni,2008-08-22 00:00:00
279,1,alumni,2008-08-22 00:00:00
280,1,alumni,2008-08-22 00:00:00
281,1,alumni,2008-08-22 00:00:00
282,1,alumni,2008-08-22 00:00:00
283,1,alumni,2008-08-22 00:00:00
284,1,alumni,2008-08-22 00:00:00
285,1,alumni,2008-08-22 00:00:00
286,1,alumni,2008-08-22 00:00:00
287,1,alumni,2008-08-22 00:00:00
288,1,alumni,2008-08-22 00:00:00
289,1,alumni,2008-08-22 00:00:00
290,1,alumni,2008-08-22 00:00:00
291,1,alumni,2008-08-22 00:00:00
292,1,alumni,2008-08-22 00:00:00
293,1,alumni,2008-08-22 00:00:00
294,1,alumni,2008-08-22 00:00:00
295,1,alumni,2008-08-22 00:00:00
296,1,alumni,2008-08-22 00:00:00
297,1,alumni,2008-08-22 00:00:00
298,1,alumni,2008-08-22 00:00:00
299,1,alumni,2008-08-22 00:00:00
300,1,alumni,2008-08-22 00:00:00
301,1,alumni,2008-08-22 00:00:00
302,1,alumni,2008-08-22 00:00:00
303,1,alumni,2008-08-22 00:00:00
304,1,current,2008-08-22 00:00:00
305,1,alumni,2008-08-22 00:00:00
306,1,alumni,2008-08-22 00:00:00
307,1,alumni,2008-08-22 00:00:00
308,1,alumni,2008-08-22 00:00:00
309,1,alumni,2008-08-22 00:00:00
310,1,alumni,2008-08-22 00:00:00
311,1,alumni,2008-08-22 00:00:00
312,1,alumni,2008-08-22 00:00:00
313,1,alumni,2008-08-22 00:00:00
314,1,alumni,2008-08-22 00:00:00
315,1,alumni,2008-08-22 00:00:00
316,1,alumni,2008-08-22 00:00:00
317,1,alumni,2008-08-22 00:00:00
318,1,alumni,2008-08-22 00:00:00
318,5,current,2008-08-22 00:00:00
319,1,current,2008-08-22 00:00:00
320,1,alumni,2008-08-22 00:00:00
321,1,alumni,2008-08-22 00:00:00
322,1,alumni,2008-08-22 00:00:00
322,5,current,2008-08-22 00:00:00
323,1,alumni,2008-08-22 00:00:00
324,1,alumni,2008-08-22 00:00:00
325,1,alumni,2008-08-22 00:00:00
325,5,current,2008-08-22 00:00:00
326,1,alumni,2008-08-22 00:00:00
327,1,current,2008-08-22 00:00:00
328,1,alumni,2008-08-22 00:00:00
329,1,alumni,2008-08-22 00:00:00
330,1,alumni,2008-08-22 00:00:00
331,1,alumni,2008-08-22 00:00:00
332,1,alumni,2008-08-22 00:00:00
333,1,alumni,2008-08-22 00:00:00
334,1,alumni,2008-08-22 00:00:00
335,1,alumni,2008-08-22 00:00:00
336,1,alumni,2008-08-22 00:00:00
336,5,current,2008-08-22 00:00:00
337,1,alumni,2008-08-22 00:00:00
337,5,current,2008-08-22 00:00:00
339,1,alumni,2008-08-22 00:00:00
339,5,current,2008-08-22 00:00:00
350,1,alumni,2008-08-22 00:00:00
351,1,current,2008-08-22 00:00:00
351,5,current,2008-08-22 00:00:00
352,1,current,2008-08-22 00:00:00
353,1,alumni,2008-08-22 00:00:00
354,1,alumni,2008-08-22 00:00:00
355,1,alumni,2008-08-22 00:00:00
356,1,alumni,2008-08-22 00:00:00
358,1,alumni,2008-08-22 00:00:00
359,1,alumni,2008-08-22 00:00:00
360,1,alumni,2008-08-22 00:00:00
360,5,current,2008-08-22 00:00:00
361,1,current,2008-08-22 00:00:00
361,5,current,2008-08-22 00:00:00
362,1,alumni,2008-08-22 00:00:00
